value_vt,value_tt,Year
0.911342239498939,0.888791173000717,1979-01
0.831432056470578,0.888425745206786,1979-02
0.899239949923315,0.888060317410566,1979-03
0.856058730395026,0.887694889612495,1979-04
0.788689677428202,0.887329461815757,1979-05
0.810795914267158,0.88696403401902,1979-06
0.825484570334892,0.886598606222283,1979-07
0.842618255613264,0.886233178425547,1979-08
0.969960227908988,0.885867750628809,1979-09
0.912251983636363,0.885502322832072,1979-10
0.955191820976859,0.885136895035336,1979-11
0.995081254778629,0.884771467238598,1979-12
0.893821944492632,0.884406039441861,1980-01
0.781780129846076,0.884040611645125,1980-02
0.888194381779625,0.883675183848387,1980-03
0.893267827284448,0.88330975605165,1980-04
0.741422768843854,0.882944328254914,1980-05
0.855808123122572,0.882578900458176,1980-06
0.82716745755119,0.882213472661439,1980-07
0.908918757476516,0.881848044864703,1980-08
0.908725554125109,0.881482617067965,1980-09
0.970885327455471,0.881117189271229,1980-10
0.990914540199902,0.880751761474492,1980-11
0.906093106288081,0.880386333677754,1980-12
0.96075950297408,0.880020905881017,1981-01
0.964724264698197,0.879655478084281,1981-02
0.844950230429756,0.879290050287543,1981-03
0.814433358368363,0.878924622490806,1981-04
0.846766938143362,0.87855919469407,1981-05
0.817248385221663,0.878193766897332,1981-06
0.883001841989845,0.877828339100596,1981-07
0.850117599454836,0.877462911303859,1981-08
0.998945294117065,0.877097483507121,1981-09
0.894329041617537,0.876732055710385,1981-10
0.996658777457279,0.876366627913648,1981-11
0.86990187936558,0.87600120011691,1981-12
0.898566495099675,0.875635772320174,1982-01
0.940432422062148,0.875270344523437,1982-02
0.921621432406191,0.874904916726699,1982-03
0.828779047275209,0.874539488929963,1982-04
0.837089407616468,0.874174061133226,1982-05
0.783977179900511,0.873808633336488,1982-06
0.863494656282854,0.873443205539752,1982-07
0.786338530023648,0.873077777743015,1982-08
0.830325850555768,0.872712349946277,1982-09
0.796410249750653,0.872346922149541,1982-10
0.853306705229166,0.871981494352804,1982-11
0.830427816204021,0.871616066556066,1982-12
0.815401050070213,0.87125063875933,1983-01
0.800014048242625,0.870885210962593,1983-02
0.748800356666078,0.870519783165856,1983-03
0.885775094382368,0.870154355369119,1983-04
0.81556730833774,0.869788927572382,1983-05
0.737069085740959,0.869423499775644,1983-06
0.864964522056427,0.869058071978908,1983-07
0.902808612575071,0.868692644182171,1983-08
0.923253090685722,0.868327216385434,1983-09
1.02644827719903,0.867961788588697,1983-10
0.957985960457357,0.86759636079196,1983-11
0.947237598595526,0.867230932995223,1983-12
0.937550792448044,0.866865505198486,1984-01
0.966018102413875,0.866500077401749,1984-02
0.851883811166248,0.866134649605012,1984-03
0.799444324680286,0.865769221808275,1984-04
0.843510925657915,0.865403794011538,1984-05
0.849229942097014,0.865038366214801,1984-06
0.850753852342846,0.864672938418064,1984-07
0.86461059371598,0.864307510621327,1984-08
0.911977551758714,0.86394208282459,1984-09
0.900133298133857,0.863576655027853,1984-10
0.874716671455802,0.863211227231116,1984-11
0.898313458515156,0.862845799434379,1984-12
0.897180614225506,0.862480371637642,1985-01
0.886083311754311,0.862114943840905,1985-02
0.862376645959104,0.861749516044168,1985-03
0.814308552104351,0.861384088247431,1985-04
0.850995490347815,0.861018660450695,1985-05
0.881218187419058,0.860653232653957,1985-06
0.855859502269351,0.86028780485722,1985-07
0.877442430181223,0.859922377060484,1985-08
0.903684326432885,0.859556949263746,1985-09
0.894500479661403,0.859191521467009,1985-10
0.9382824610563,0.858826093670273,1985-11
0.921181596097354,0.858460665873535,1985-12
0.92565603218396,0.858095238076798,1986-01
0.943102638035509,0.857729810280062,1986-02
0.867866017958722,0.857364382483324,1986-03
0.865736528487101,0.856998954686587,1986-04
0.810558974221915,0.856633526889851,1986-05
0.825260042219638,0.856268099093113,1986-06
0.857964550875611,0.855902671296376,1986-07
0.825891461194824,0.85553724349964,1986-08
0.853999153733244,0.855171815702902,1986-09
0.872289014122911,0.854806387906165,1986-10
0.9041364767096,0.854440960109429,1986-11
0.903905192941673,0.854075532312691,1986-12
0.930467153032463,0.853710104515954,1987-01
0.860816711100342,0.853344676719218,1987-02
0.863972527071946,0.85297924892248,1987-03
0.80623195543385,0.852613821125743,1987-04
0.821769508858324,0.852248393329007,1987-05
0.793219156673198,0.851882965532269,1987-06
0.771866767848199,0.851517537735533,1987-07
0.806226155204553,0.851152109938796,1987-08
0.723470945857186,0.850786682142058,1987-09
0.709516252835734,0.850421254345322,1987-10
0.660624000199255,0.559924012739628,1987-11
0.583413602393872,0.557051036110087,1987-12
0.676708346349902,0.554178059480561,1988-01
0.705327122960301,0.551305082851019,1988-02
0.622611758359053,0.548432106221478,1988-03
0.712922752668125,0.545559129591952,1988-04
0.656205385212406,0.542686152962411,1988-05
0.669051625345433,0.539813176332869,1988-06
0.625558283337148,0.536940199703343,1988-07
0.520743657332551,0.534067223073802,1988-08
0.380016199053668,0.53119424644426,1988-09
0.398146437564201,0.528321269814735,1988-10
0.465349484253787,0.525448293185193,1988-11
0.535653907361561,0.522575316555652,1988-12
0.541738631772523,0.519702339926126,1989-01
0.679521059237287,0.516829363296584,1989-02
0.640120673298772,0.513956386667043,1989-03
0.647366355153204,0.511083410037517,1989-04
0.672974453971902,0.508210433407976,1989-05
0.755038127836531,0.505337456778434,1989-06
0.724503024842774,0.502464480148908,1989-07
0.630506294328055,0.499591503519367,1989-08
0.558412902842666,0.496718526889825,1989-09
0.587916279150921,0.4938455502603,1989-10
0.553764506638151,0.490972573630758,1989-11
0.500285185240578,0.488099597001217,1989-12
0.454274955020652,0.485226620371691,1990-01
0.418191029445231,0.482353643742149,1990-02
0.407482088890354,0.479480667112608,1990-03
0.427576038541606,0.476607690483082,1990-04
0.391786070123228,0.473734713853541,1990-05
0.380671855890012,0.470861737223999,1990-06
0.394827906025671,0.467988760594473,1990-07
0.365573329284201,0.465115783964932,1990-08
0.334420881016226,0.462242807335391,1990-09
0.314228590118992,0.459369830705865,1990-10
0.318191385611076,0.456496854076323,1990-11
0.37522860771248,0.453623877446782,1990-12
0.393503712087717,0.450750900817256,1991-01
0.441143646675583,0.447877924187715,1991-02
0.441878254190432,0.445004947558173,1991-03
0.424184206315164,0.442131970928647,1991-04
0.40743676214496,0.439258994299106,1991-05
0.387863043910963,0.436386017669564,1991-06
0.371874220085333,0.433513041040039,1991-07
0.389737455375017,0.430640064410497,1991-08
0.369654750179083,0.427767087780956,1991-09
0.352282369726876,0.42489411115143,1991-10
0.321719076649685,0.422021134521888,1991-11
0.316196245830805,0.419148157892347,1991-12
0.309031728256722,0.416275181262821,1992-01
0.277342949482149,0.41340220463328,1992-02
0.34555598100145,0.410529228003738,1992-03
0.337614648031215,0.407656251374212,1992-04
0.294555298974508,0.404783274744671,1992-05
0.298078418993008,0.40191029811513,1992-06
0.254611063717625,0.399037321485604,1992-07
0.341915546494552,0.396164344856062,1992-08
0.326097703813587,0.393291368226521,1992-09
0.324914493045819,0.390418391596995,1992-10
0.321363098778854,0.387545414967454,1992-11
0.3225802665209,0.384672438337912,1992-12
0.381843753973583,0.381799461708386,1993-01
0.422942402568125,0.378926485078845,1993-02
0.44447865915059,0.376053508449303,1993-03
0.415126386740383,0.373180531819778,1993-04
0.350922974272216,0.370307555190236,1993-05
0.342525552123727,0.367434578560695,1993-06
0.304444336890555,0.364561601931169,1993-07
0.323373084818407,0.361688625301627,1993-08
0.290501085062031,0.358815648672086,1993-09
0.312729632035061,0.35594267204256,1993-10
0.311876461221863,0.353069695413019,1993-11
0.296323481148155,0.350196718783477,1993-12
0.347891255452548,0.347323742153951,1994-01
0.343604527732283,0.34445076552441,1994-02
0.375773786010445,0.341577788894868,1994-03
0.363666447371563,0.338704812265343,1994-04
0.348859238551082,0.335831835635801,1994-05
0.342489971166975,0.33295885900626,1994-06
0.296871244279306,0.330085882376734,1994-07
0.311317621794878,0.327212905747192,1994-08
0.28098024463137,0.324339929117651,1994-09
0.247095250523987,0.321466952488125,1994-10
0.216762271761183,0.318593975858584,1994-11
0.242132410778471,0.315720999229042,1994-12
0.221703535984556,0.312848022599516,1995-01
0.204036947141302,0.309975045969975,1995-02
0.202832451728953,0.307102069340434,1995-03
0.264824777083578,0.304229092710908,1995-04
0.303210419183709,0.301356116081366,1995-05
0.29651159548035,0.298483139451825,1995-06
0.281180321445168,0.295610162822299,1995-07
0.274515029073612,0.292737186192758,1995-08
0.262895708291458,0.289864209563216,1995-09
0.251875479578199,0.28699123293369,1995-10
0.282285214819589,0.284118256304149,1995-11
0.304110975471193,0.281245279674607,1995-12
0.32251238311481,0.278372303045082,1996-01
0.343255968393468,0.27549932641554,1996-02
0.403996434869099,0.272626349785999,1996-03
0.384803119705233,0.269753373156473,1996-04
0.409487788567647,0.266880396526931,1996-05
0.353405396957824,0.26400741989739,1996-06
0.347661090761575,0.261134443267864,1996-07
0.354535890681315,0.258261466638323,1996-08
0.296198212126103,0.255388490008781,1996-09
0.325403784919433,0.252515513379255,1996-10
0.296937855182261,0.249642536749714,1996-11
0.293926690530372,0.246769560120173,1996-12
0.26320839753627,0.243896583490647,1997-01
0.273888256302055,0.241023606861105,1997-02
0.314403028132944,0.238150630231564,1997-03
0.309929164033731,0.235277653602038,1997-04
0.316987587708429,0.232404676972497,1997-05
0.294385072758118,0.229531700342955,1997-06
0.219425908906069,0.226658723713429,1997-07
0.255850594563841,0.223785747083888,1997-08
0.252228466090922,0.220912770454346,1997-09
0.172092253079482,0.218039793824821,1997-10
0.182099699129599,0.215166817195279,1997-11
0.217656680466934,0.212293840565738,1997-12
0.194075385470284,0.209420863936212,1998-01
0.131034999071758,0.20654788730667,1998-02
0.127545463536521,0.203674910677129,1998-03
0.132806098218391,0.200801934047603,1998-04
0.173316064054003,0.197928957418062,1998-05
0.20268010193051,0.19505598078852,1998-06
0.205783704860782,0.192183004158994,1998-07
0.219619117016649,0.189310027529453,1998-08
0.207841183079584,0.186437050899911,1998-09
0.233585183422074,0.183564074270386,1998-10
0.230802614245359,0.180691097640844,1998-11
0.23254521360198,0.177818121011303,1998-12
0.262258697614392,0.174945144381777,1999-01
0.294984452800078,0.172072167752236,1999-02
0.395585315537581,0.585216383702396,1999-03
0.381544398415652,0.579930854872085,1999-04
0.523204092962009,0.57464532604176,1999-05
0.512481093513139,0.56935979721145,1999-06
0.514370340704481,0.564074268381139,1999-07
0.599494534285558,0.558788739550815,1999-08
0.515558637095028,0.553503210720504,1999-09
0.525881612911117,0.548217681890194,1999-10
0.56616612845078,0.542932153059869,1999-11
0.525674732099083,0.537646624229558,1999-12
0.53222855712021,0.532361095399248,2000-01
0.55206313907213,0.527075566568923,2000-02
0.579303310792062,0.521790037738613,2000-03
0.502744170176351,0.516504508908302,2000-04
0.626280683107751,0.511218980077977,2000-05
0.471937303089576,0.505933451247667,2000-06
0.620850747087,0.500647922417356,2000-07
0.53723836769143,0.495362393587031,2000-08
0.62560975090352,0.490076864756721,2000-09
0.584113627441964,0.484791335926411,2000-10
0.548036821433306,0.479505807096086,2000-11
0.554627576230935,0.474220278265775,2000-12
0.527499739907165,0.468934749435465,2001-01
0.515817080000513,0.46364922060514,2001-02
0.424846864853918,0.458363691774829,2001-03
0.547882011575727,0.453078162944519,2001-04
0.4133817075049,0.447792634114194,2001-05
0.513381849678062,0.442507105283884,2001-06
0.449540431895517,0.437221576453573,2001-07
0.432834450357667,0.431936047623248,2001-08
0.449770038353837,0.426650518792938,2001-09
0.440155193228947,0.421364989962627,2001-10
0.381348512744672,0.416079461132303,2001-11
0.465374266357953,0.410793932301992,2001-12
0.397594640139373,0.405508403471682,2002-01
0.405836646741359,0.400222874641357,2002-02
0.461577136977816,0.394937345811046,2002-03
0.407091171086075,0.389651816980736,2002-04
0.408456317713581,0.384366288150411,2002-05
0.42513818010715,0.379080759320101,2002-06
0.367215593299163,0.37379523048979,2002-07
0.334487145013821,0.368509701659465,2002-08
0.327993106048152,0.363224172829155,2002-09
0.359081418727854,0.357938643998844,2002-10
0.329841738435403,0.352653115168519,2002-11
0.35995857394754,0.347367586338209,2002-12
0.307844648705203,0.342082057507899,2003-01
0.252519333707046,0.336796528677574,2003-02
0.267216201076504,0.331510999847263,2003-03
0.293479071383462,0.326225471016953,2003-04
0.325975618180708,0.320939942186628,2003-05
0.317345447282081,0.315654413356317,2003-06
0.318878437567678,0.310368884526007,2003-07
0.298250144450512,0.305083355695682,2003-08
0.292697667821745,0.299797826865372,2003-09
0.326709598186356,0.294512298035061,2003-10
0.310279850774053,0.289226769204736,2003-11
0.2890874974912,0.283941240374426,2003-12
0.234840232586224,0.278655711544115,2004-01
0.214147986723284,0.273370182713791,2004-02
0.209520364795213,0.26808465388348,2004-03
0.194632108165195,0.26279912505317,2004-04
0.191305681358065,0.257513596222845,2004-05
0.194981535269341,0.252228067392534,2004-06
0.178221839019811,0.246942538562224,2004-07
0.188408091683148,0.241657009731899,2004-08
0.164237410509673,0.236371480901589,2004-09
0.227217312630854,0.231085952071278,2004-10
0.196398742269831,0.225800423240953,2004-11
0.188998156855026,0.220514894410643,2004-12
0.112012796008743,0.215229365580332,2005-01
0.146157496654253,0.209943836750007,2005-02
0.156885497924745,0.204658307919697,2005-03
0.166726522184736,0.199372779089387,2005-04
0.2223136142585,0.194087250259062,2005-05
0.209246301635868,0.188801721428751,2005-06
0.212039276589271,0.183516192598441,2005-07
0.185454127076172,0.178230663768116,2005-08
0.232360884876001,0.172945134937805,2005-09
0.21808515695361,0.167659606107495,2005-10
0.202783467586942,0.16237407727717,2005-11
0.229834994517106,0.15708854844686,2005-12
0.172333866292615,0.151803019616549,2006-01
0.165911800455867,0.146517490786224,2006-02
0.129891933621399,0.141231961955914,2006-03
0.159485009860745,0.135946433125603,2006-04
0.183438302782346,0.130660904295279,2006-05
0.198956775746957,0.125375375464968,2006-06
0.175106195329661,0.120089846634658,2006-07
0.176356234704745,0.114804317804333,2006-08
0.1550290469917,0.109518788974022,2006-09
0.10008974725193,0.104233260143712,2006-10
0.042064719986782,0.098947731313387,2006-11
0.030438048117459,0.093662202483077,2006-12
0,0,2007-01
0,0,2007-02
0,0,2007-03
0,0,2007-04
0,0,2007-05
0,0,2007-06
0,0,2007-07
0,0,2007-08
0,0,2007-09
0,0,2007-10
0,0,2007-11
0,0,2007-12
0,0,2008-01
0,0,2008-02
0,0,2008-03
0,0,2008-04
0,0,2008-05
0,0,2008-06
0,0,2008-07
0,0,2008-08
0,0,2008-09
0,0,2008-10
0,0,2008-11
0,0,2008-12
0,0,2009-01
0,0,2009-02
0,0,2009-03
0,0,2009-04
0,0,2009-05
0,0,2009-06
0,0,2009-07
0,0,2009-08
0,0,2009-09
0,0,2009-10
0,0,2009-11
0,0,2009-12
0,0,2010-01
0,0,2010-02
0,0,2010-03
0,0,2010-04
0,0,2010-05
0,0,2010-06
0,0,2010-07
0,0,2010-08
0,0,2010-09
0,0,2010-10
0,0,2010-11
0,0,2010-12
0,0,2011-01
0,0,2011-02
0,0,2011-03
0,0,2011-04
0,0,2011-05
0,0,2011-06
0,0,2011-07
0,0,2011-08
0,0,2011-09
0,0,2011-10
0,0,2011-11
0,0,2011-12
0,0,2012-01
0,0,2012-02
0,0,2012-03
0,0,2012-04
0,0,2012-05
0,0,2012-06
0,0,2012-07
0,0,2012-08
0,0,2012-09
0,0,2012-10
0,0,2012-11
0,0,2012-12
0,0,2013-01
0,0,2013-02
0,0,2013-03
0,0,2013-04
0,0,2013-05
0,0,2013-06
0,0,2013-07
0,0,2013-08
0,0,2013-09
0,0,2013-10
0,0,2013-11
0,0,2013-12
0,0,2014-01
0,0,2014-02
0,0,2014-03
0,0,2014-04
0,0,2014-05
0,0,2014-06
0,0,2014-07
0,0,2014-08
0,0,2014-09
0,0,2014-10
0,0,2014-11
0,0,2014-12
0,0,2015-01
0,0,2015-02
0,0,2015-03
0,0,2015-04
0,0,2015-05
0,0,2015-06
0,0,2015-07
0,0,2015-08
0,0,2015-09
0,0,2015-10
0,0,2015-11
0,0,2015-12
0,0,2016-01
0,0,2016-02
0,0,2016-03
0,0,2016-04
0,0,2016-05
0,0,2016-06
0,0,2016-07
0,0,2016-08
0,0,2016-09
0,0,2016-10
0,0,2016-11
0,0,2016-12
